,circuit,n_qubits,depth,n_2q_gates,itensors_time,itensors_fidelity,quimb_time,quimb_fidelity,pytket-cutn_time,pytket-cutn_fidelity
0,TFIM_square_obc_Jz=1.0_hx=2.0_dt=0.5_n_trotter_steps=2_Lx=8_Ly=7.json,56,20,194,260.559723575,0.5567608557945595,1009.7925546169281,nan,89.28249597549438,0.5575822893374124
1,TFIM_square_PBC_Jz=1.0_hx=2.0_dt=0.3_n_trotter_steps=20_Lx=8_Ly=7.json,56,321,2240,oom,oom,,,2751.776663541794,0.03813118769581694
2,XZ_square_obc_J=1_dt=0.5_n_trotter_steps=14_Lx=8_Ly=7.json,56,125,2813,oom,oom,,,2408.604769706726,3.4709170567649494e-32
3,TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.1_n_trotter_steps=4_Lx=4_Ly=7.json,56,17,336,2046.287604449,0.9319885348194185,5684.576669692993,nan,422.83114743232727,0.9321226233131291
4,XZ_square_PBC_J=1_dt=0.1_n_trotter_steps=18_Lx=8_Ly=7.json,56,555,4144,oom,oom,,,4996.734528064728,0.04796731539986057
5,TFIM_honeycomb_obc_Jz=1.0_hx=6.0_dt=0.5_n_trotter_steps=2_Lx=4_Ly=7.json,56,9,146,29.82779424,0.9999999999999676,63.557283878326416,nan,8.291440725326538,0.9999999999999731
6,XZ_honeycomb_PBC_J=1_dt=0.5_n_trotter_steps=8_Lx=4_Ly=7.json,56,51,1428,oom,oom,,,1746.0233018398285,2.831680255666111e-16
7,TFIM_square_obc_Jz=1.0_hx=8.0_dt=0.5_n_trotter_steps=8_Lx=8_Ly=7.json,56,50,776,2563.264524771,1.6160412773458676e-07,6593.799196004868,nan,612.1573357582092,1.569214007591727e-07
8,TFIM_honeycomb_obc_Jz=1.0_hx=1.5_dt=0.3_n_trotter_steps=10_Lx=4_Ly=7.json,56,41,730,1093.063392727,0.742958259346883,3005.510394334793,nan,263.8659963607788,0.7429172893069419
9,TFIM_honeycomb_obc_Jz=1.0_hx=1.5_dt=0.5_n_trotter_steps=12_Lx=4_Ly=7.json,56,49,876,1370.662058668,0.004228579346648649,3730.5532886981964,nan,338.5027565956116,0.004186083391756195
10,TFIM_square_PBC_Jz=1.0_hx=8.0_dt=0.5_n_trotter_steps=16_Lx=8_Ly=7.json,56,257,1792,oom,oom,nan,nan,2191.1794459819794,2.252436221728459e-27
11,XZ_square_obc_J=1_dt=0.1_n_trotter_steps=12_Lx=8_Ly=7.json,56,109,2425,oom,oom,,,2004.8541440963745,0.36669911057013715
12,XZ_square_obc_J=1_dt=0.1_n_trotter_steps=18_Lx=8_Ly=7.json,56,157,3589,oom,oom,,,2889.9307675361633,0.21181554847555406
13,XZ_square_obc_J=1_dt=0.5_n_trotter_steps=10_Lx=8_Ly=7.json,56,93,2037,oom,oom,,,1728.0169684886932,2.1063121700538167e-24
14,TFIM_square_obc_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=10_Lx=8_Ly=7.json,56,60,970,oom,oom,8791.051189661026,nan,802.8747980594635,6.599531968248722e-08
15,TFIM_square_PBC_Jz=1.0_hx=2.0_dt=0.1_n_trotter_steps=4_Lx=8_Ly=7.json,56,65,448,1861.244606194,0.9788462855743513,5776.930989980698,nan,404.40708899497986,0.9788082591064626
16,TFIM_square_PBC_Jz=1.0_hx=4.0_dt=0.1_n_trotter_steps=14_Lx=8_Ly=7.json,56,225,1568,oom,oom,,,1769.0081326961517,0.2498755914794454
17,TFIM_square_obc_Jz=1.0_hx=2.0_dt=0.3_n_trotter_steps=16_Lx=8_Ly=7.json,56,90,1552,oom,oom,13790.104093790054,nan,1255.4182693958282,0.02400322186609451
18,XZ_square_PBC_J=1_dt=0.1_n_trotter_steps=2_Lx=8_Ly=7.json,56,75,560,2473.582517466,0.9203243295653443,7538.159802913666,nan,569.6278216838837,0.9203750686907978
19,TFIM_honeycomb_obc_Jz=1.0_hx=6.0_dt=0.3_n_trotter_steps=14_Lx=4_Ly=7.json,56,57,1022,1539.404850531,0.005627703131531135,4415.850062131882,nan,395.5927543640137,0.005607901060732009
20,XZ_honeycomb_PBC_J=1_dt=0.1_n_trotter_steps=6_Lx=4_Ly=7.json,56,39,1092,oom,oom,,,1222.466314792633,0.48920488499531034
21,TFIM_honeycomb_PBC_Jz=1.0_hx=6.0_dt=0.3_n_trotter_steps=16_Lx=4_Ly=7.json,56,65,1344,oom,oom,nan,nan,1660.526350736618,1.98398635117181e-10
22,XZ_square_PBC_J=1_dt=0.5_n_trotter_steps=8_Lx=8_Ly=7.json,56,255,1904,oom,oom,,,2323.0122582912445,4.085962648474664e-42
23,XZ_square_PBC_J=1_dt=0.5_n_trotter_steps=6_Lx=8_Ly=7.json,56,195,1456,oom,oom,,,1761.4124813079834,1.5228190157954409e-34
24,TFIM_square_PBC_Jz=1.0_hx=2.0_dt=0.3_n_trotter_steps=4_Lx=8_Ly=7.json,56,65,448,2095.887978141,0.3568898488192542,5983.248962163925,nan,481.21413350105286,0.35658534461725094
25,TFIM_honeycomb_obc_Jz=1.0_hx=1.5_dt=0.5_n_trotter_steps=10_Lx=4_Ly=7.json,56,41,730,1130.110700811,0.018059535419395888,3015.6307067871094,nan,279.3478991985321,0.017837402769797717
26,TFIM_honeycomb_obc_Jz=1.0_hx=3.0_dt=0.1_n_trotter_steps=2_Lx=4_Ly=7.json,56,9,146,28.704152179,0.9999999999999238,58.103776931762695,nan,8.042686700820923,0.9999999999999705
27,TFIM_square_PBC_Jz=1.0_hx=4.0_dt=0.5_n_trotter_steps=20_Lx=8_Ly=7.json,56,321,2240,oom,oom,nan,nan,2733.2283153533936,1.0070066567015577e-20
28,TFIM_square_obc_Jz=1.0_hx=4.0_dt=0.1_n_trotter_steps=12_Lx=8_Ly=7.json,56,70,1164,oom,oom,10651.665706634521,nan,908.1560769081116,0.6906989539363966
